"AthenaeusUrn","HomericTextContent","HomerUrn","AlignmentUrn"
"urn:cts:greekLit:tlg0008.tlg001.berti:7.52@διὸ[2]-7.53@ἐξεφέρετο[1]","τοῦ δ᾽ ἐγὼ ἀντίος εἶμι, καὶ εἰ πυρὶ χεῖρας ἔοικε","urn:cts:greekLit:tlg0012.tlg001.ogl01:20.371","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:20.371@τοῦ[1]-20.371@ἔοικεν[1]"
"urn:cts:greekLit:tlg0008.tlg001.berti:7.54@Ὁμήρου[1]-7.54@Ἀρχίλοχος[1]","τείροντ᾽ ἐγχέλυές τε καὶ ἰχθύεσ","urn:cts:greekLit:tlg0012.tlg001.ogl01:21.353","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:21.353@τείροντ᾽[1]-21.353@ἰχθύεσ[1]"
"urn:cts:greekLit:tlg0008.tlg001.berti:7.54@καὶ[11]-7.54@δηλώσῃ[1]","τείροντ᾽ ἐγχέλυές τε καὶ ἰχθύες","urn:cts:greekLit:tlg0012.tlg001.ogl01:21.353","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:21.353@τείροντ᾽[1]-21.353@ἰχθύεσ[1]"
"urn:cts:greekLit:tlg0008.tlg001.berti:7.95@ἡ[1]-7.95@καρπῷ[1]","νάρκησε δὲ χεὶρ ἐπὶ καρπῷ","urn:cts:greekLit:tlg0012.tlg001.ogl01:8.328","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:8.328@νάρκησε[1]-8.328@καρπῷ[1]"
"urn:cts:greekLit:tlg0008.tlg001.berti:8.42@ὥς[3]-8.42@ἀνένευσε[1]","τῷ δ᾽ ἕτερον μὲν ἔδωκε πατήρ, ἕτερον δ᾽ ἀνένευσε","urn:cts:greekLit:tlg0012.tlg001.ogl01:16.250","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:16.250"
"urn:cts:greekLit:tlg0008.tlg001.berti:8.65@Ὅμηρος[1]-8.65@ἕποντο[1]","χθιζὸς ἔβη μετὰ δαῖτα, θεοὶ δ᾽ ἅμα πάντες ἕποντο","urn:cts:greekLit:tlg0012.tlg001.ogl01:1.424","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:1.424"
"urn:cts:greekLit:tlg0008.tlg001.berti:8.66@οἱ[1]-8.66@Ἄρηα[1]","νῦν δ᾽ ἔρχεσθ᾽ ἐπὶ δεῖπνον, ἵνα ξυνάγωμεν Ἄρηα","urn:cts:greekLit:tlg0012.tlg001.ogl01:2.381","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:2.381"
"urn:cts:greekLit:tlg0008.tlg001.berti:9.15@τῶν[2]-9.15@αὐτῇ[1]","ὡς δ᾽ ὄρνις ἀπτῆσι νεοσσοῖσι προφέρῃσι","urn:cts:greekLit:tlg0012.tlg001.ogl01:9.323","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:9.323"
"urn:cts:greekLit:tlg0008.tlg001.berti:9.15@τῶν[2]-9.15@αὐτῇ[1]","μάστακ᾽, ἐπεί κε λάβῃσι, κακῶς δέ τέ οἱ πέλει αὐτῇ","urn:cts:greekLit:tlg0012.tlg001.ogl01:9.324","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:9.324"
"urn:cts:greekLit:tlg0008.tlg001.berti:9.15@τῶν[2]-9.15@αὐτῇ[1]","ὄρνιθι λιγυρῇ","urn:cts:greekLit:tlg0012.tlg001.ogl01:14.290","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:14.290@ὄρνιθι[1]-14.290@λιγυρῇ[1]"
